index,axis-0,axis-1
0,355,768
1,272,676
2,200,499
3,181,399
4,911,409
5,295,108
6,335,88
7,192,179
8,954,798
9,89,1021
10,818,462
11,374,258
12,47,187
13,982,462
14,740,857
15,88,677
16,252,304
17,843,294
18,970,854
19,528,84
20,8,871
21,754,865
22,279,448
23,132,894
24,309,938
25,54,636
26,352,853
27,471,913
28,157,498
29,48,915
30,236,647
31,628,333
32,738,689
33,173,416
34,139,633
35,640,104
36,901,965
37,89,831
38,61,1017
39,411,328
40,958,951
41,385,233
42,580,58
43,411,121
44,57,264
45,13,473
46,905,222
47,570,955
48,68,138
49,308,976
50,100,718
51,336,519
52,491,159
53,958,77
54,897,430
55,441,459
56,316,306
57,576,750
58,496,320
59,827,767
60,646,750
61,903,809
62,973,796
63,360,135
64,469,426
65,258,801
66,510,821
67,366,99
68,94,410
69,176,607
70,635,381
71,583,314
72,21,120
73,518,700
74,264,736
75,544,175
76,116,885
77,570,387
78,917,876
79,1008,556
80,840,13
81,228,741
82,884,119
83,721,106
84,444,128
85,764,916
86,499,749
87,518,706
88,62,95
89,938,319
90,131,464
91,792,711
92,787,394
93,959,859
94,317,190
95,154,332
96,128,58
97,606,943
98,958,945
99,754,57
100,1006,818
101,833,665
102,968,773
103,820,429
104,344,678
105,417,215
106,524,109
107,845,921
108,777,566
109,693,468
110,453,400
111,852,938
112,542,219
113,659,577
114,219,509
115,54,690
116,846,839
117,217,690
118,951,560
119,219,264
120,236,500
121,301,42
122,424,163
123,234,836
124,588,275
125,126,499
126,538,401
127,425,420
128,383,550
129,580,217
130,555,808
131,937,861
132,23,98
133,129,498
134,94,734
135,619,709
136,78,407
137,801,677
138,554,505
139,500,908
140,110,323
141,314,225
142,1018,301
143,915,965
